Name,Medium,Type,Product Name,Username,Intended Compatibility,Interface,Model,Serial,Year,Accession Number,Date Tested,Donor,Notes
[Rodime 50MB Hard Drive],Peripheral,Hard Disk Drive,Rodime 50MB Hard Drive,Rodime 50MB Hard Drive,PC,SCSI,RO652,F62060747,1980,2014.09.30,,,
[Seagate Hawk 2 GB Hard Drive Disk],Peripheral,Hard Disk Drive,Seagate Hawk 2 GB Hard Drive Disk,Seagate Hawk 2 GB Hard Drive Disk,Macintosh,SCSI,ST32151N,JBQ07871,1996,2014.09.7,,,
[Seagate Hawk 2000 MB Hard Drive Disk],Peripheral,Hard Disk Drive,Seagate Hawk 2000 MB Hard Drive Disk,Seagate Hawk 2000 MB Hard Drive Disk,Macintosh,SCSI,ST32430N,TX256577,1994,2014.09.6,,,Handwritten note indicates “Marble w/ OS 9.1”.
[SyQuest Mirror],Peripheral,Hard Disk Drive,SCSI Mirror “SyQuest” 44 MB + Removable Disk Cartridge,SyQuest Mirror,Apple Computers,SCSI,01-MIRO296A,0043427,N/A,2015.06.18,,Rafael Fajardo,
