Name,Medium,Type,Title,Author,Editor,Translator,Publisher,Year,Language,Genre,Identifying Number,Accession Number,Donor,Notes
[Wizards and Their Wonders: Portraits in Computing],Printed Matter,Book,Portraits in Computing,Louis Fabian Bachrach and Christopher Morgan,N/A,N/A,ACM Press,1997,English,Educational,ISBN 0-89791-960-2,2014.06.4,Hal Shear,
[USB Explained],Printed Matter,Book,USB Explained,Steven McDowell and Martin Seyer,N/A,N/A,Prentice Hall PTR,1999,English,Educational,0-13-081153-X,2014.06.40,John Hopkins,
[Hal’s Legacy: 2001’s Computer as Dream and Reality],Printed Matter,Book,2001’s Computer as Dream and Reality,N/A,David G. Stork,N/A,MIT Press,1997,English,Educational,ISBN 0-262-19378-7,2014.06.5,Hal Shear,
[The Computer in Literary and Linguistic Studies],Printed Matter,Book,The Computer in Literary and Linguistic Studies,N/A,Alan Jones and R. F. Churchhouse,N/A,University of Wales Press,1976,English,Computers--Literature and Linguistics,ISBN 0-7083-0590-3,2014.07.1,,Proceedings of the Third International Symposium.
[Computer Acronym Handbook],Printed Matter,Book,Computer Acronym Handbook,Donald D. Spencer,N/A,N/A,Prentice Hall Inc.,1974,English,Educational,ISBN 0-13-164863-2,2014.07.18,N/A,
[Bob Neill’s Book of Typewriter Art],Printed Matter,Book,Bob Neill’s Book of Typewriter Art,Bob Neill,N/A,N/A,Weavers Press Publishing,1982,English,Typewriter Art,ISBN 0 946017 01 8,2014.07.19,N/A,
[The Psychology of Computer Vision],Printed Matter,Book,The Psychology of Computer Vision,N/A,Patrick Henry Winston,N/A,Mcgraw-Hill Book Company,1975,English,Educational,ISBN 0-07-071048-1,2014.07.20,N/A,
[The Standard Data Encryption Algorithm],Printed Matter,Book,The Standard Data Encryption Algorithm,"Harry Katzan, JR.",N/A,N/A,"Petrocelli Books, Inc.",1977,English,Educational,ISBN 0-89433-016-0,2014.07.21,N/A,
"[Cybernetics, Art, and Ideas]",Printed Matter,Book,"Cybernetics, Art, and Ideas",N/A,Jasia Reichardt,N/A,New York Graphic Society Ltd.,1971,English,Educational,SBN 8212-0431-9,2014.07.23,N/A,
[Instant Basic: 2nd Astounding Edition],Printed Matter,Book,2nd Astounding Edition,Jerald R. Brown,N/A,N/A,Dilithium Press,1982,English,Educational,ISBN 0-918398-57-6,2014.07.24,N/A,
[The First Artificial Intelligence Coloring Book],Printed Matter,Book,The First Artificial Intelligence Coloring Book,"Harold Cohen, Becky Cohen, and Penny Nii",N/A,N/A,"William Kaufmann, Inc.",1984,English,Art and Computers,ISBN 0-86576-060-8,2014.07.26,,
A How-To-Do-It Manual of Modern Business Procedures,Printed Matter,Book,A How-To-Do-It Manual of Modern Business Procedures,Sylvia. k. Mager,N. H and S.K. Mager,N/A,"Washington Square Press, INC",1960,English,Reference,N/A,2014.09.20,,"Damage to spine, worn pages, and back cover is missing"
The Secretary’s Handbook,Printed Matter,Book,The Secretary’s Handbook,Sarah Augusta Tanitor and Kate M. Monro,Kate M. Monro,N/A,"The Macmillan Company, New York",1958,English,Reference,N/A,2014.09.21,,
Upgrading and Fixing Macs for Dummies,Printed Matter,Book,Upgrading and Fixing Macs for Dummies,Kearney Rietmann And Frank Higgens,N/A,N/A,"IDG Books Worldwide, Inc",1994,English,Reference,,2014.09.29,Don Witte,
[Exploring the Internet: A Technical Travelogue],Printed Matter,Book,A Technical Travelogue,Carl Malamud,N/A,N/A,"Prentice-Hall, Inc.",1992,English,Technical Travelogue,0-13-296898-3,2014.09.56,Aaron Kuhn,
The Parent’s Microcomputer Handbook,Printed Matter,Book,The Parent’s Microcomputer Handbook,Eugene Galanter,N/A,N/A,Putnam Publishing Group,1983,English,Handbook,0-399-50749-3,2014.09.57,Aaron Kuhn,Notes
How to Get the Most Out of CompuServe,Printed Matter,Book,How to Get the Most Out of CompuServe,Charles Brown and David Peyton,N/A,N/A,"Bantram Books, Inc.",1984,English,How to Handbook,0-553-34123-5,2014.09.58,Aaron Kuhn,
"[I’m Sorry, The Monopoly You Have Reached is Not in Service…]",Printed Matter,Book,"I’m Sorry, The Monopoly You Have REached is Not in Service...",K. Aubrey Stone,N/A,N/A,"Ballantine Books, Inc.",1973,English,,345-03075-3-150,2014.09.59,Aaron Kuhn,
Que’s Little Mac Book 4th Edition,Printed Matter,Book,Que’s Little Mac Book 4th Edition,Doug White,Jane A. Cramer,N/A,Lloyd J. Short,1992,English,Instructional,0-56529-074-7,2014.09.61,Don Witte,
[Friendly Macintosh: Basic Information for the New User],Printed Matter,Book,Basic Information for the New User,Kay Yarborough Nelson,N/A,N/A,"Random House, Inc.",1993,English,Instructional,0-679-79191-4,2014.09.62,Don Witte,
Apple II Extended 80-Column Text Card (Box and Manuals),Printed Matter,Manuals,Apple II Extended 80-Column Text Card,N/A,N/A,N/A,Apple Computers,1982,English,English,,2014.09.67,,
Apple II Super Serial Card (Box and Manuals),Printed Matter,Manuals,Apple II Super Serial Card,N/A,N/A,N/A,Apple Computers,1985,English,Manual,,2014.09.68,,
[Cooking With HyperTalk 2.0],Printed Matter,Book,Cooking With HyperTalk 2.0,Dan Winkler and Scott Knaster,N/A,N/A,Bantam Books,1990,English,HyperTalk (Program)--Guide,ISBN 0-553-34738-1,2014.1.112,Miekal And,Disk included.
[The Waite Group’s Tricks of the HyperTalk Masters],Printed Matter,Book,The Waite Group’s Tricks of the HyperTalk Masters,N/A,The Waite Group,N/A,Hayden Books,1989,English,HyperTalk (Program)--Guide,ISBN 0-672-48431-5,2014.1.113,Miekal And,
[HyperTalk 2.0: The Book],Printed Matter,Book,The Book,Dan Winkler and Scot Kamins,N/A,N/A,Bantam Books,1990,English,HyperTalk (Program)--Guide,ISBN 0-553-34737-3,2014.1.114,Miekal And,
[Graphics File Formats],Printed Matter,Book,Graphics File Formats,David C. Kay and John R. Levine,N/A,N/A,Windcrest/McGraw-Hill,1995,English,Computer Graphics/File Formats,ISBN 0-07-034025-0,2014.1.139,Keith Moore,2nd Edition
[Internet - Instant Reference],Printed Matter,Book,Internet - Instant Reference,Paul E. Hoffman,N/A,N/A,Sybex,1994,English,Internet--Pocket-Reference,ISBN 0-7821-1512-8,2014.1.240,Keith Moore,
[The Micro Revolution Revisited],Printed Matter,Book,The Micro Revolution Revisited,Peter Large,N/A,N/A,Frances Pinter,1984,English,Computer and Civilization,ISBN 0-86187-511-7,2014.1.241,Keith Moore,
[Vic Revealed],Printed Matter,Book, Vic Revealed,Nick Hampshire,N/A,N/A,Hayden Book Company,1982,English,Reference Manual,0-8104-1058-3,2014.10.10,Don Witte,
Understanding Data Communications,Printed Matter,Book,Understanding Data Communications," George E. Friends, John L. Fike",N/A,N/A,Howard W. Sams & Company,1986,English,N/A,N/A,2014.10.23,Don Witte,
[Mastering Your Vic-20 Through Eight Basic Projects],Printed Matter,Book,Mastering Your Vic 20 Through Eight Basic Projects,"Phil Daley, Robert Tripp, Loren Wright",N/A,N/A,"The Computerist, Inc",1983,English,N/A,0-938222-11-2,2014.10.24,Don Witte,
[Digital Darkroom],Printed Matter,Book/ Software and manual,Digital Darkroom," Ed Bomke and Don Cone, John Gaffnew and Charlie Jackson",N/A,N/A,Silicon Beach Software,1988,English,N/A,,2014.10.25,Don Witte,"Includes software floppy disk, and instruction manual"
How to Program Your Programmable Calculator,Printed Matter,Book,How to Program Your Programmable Calculator," Stephen L Snover, Mark A. Spikell",N/A,N/A,"Prentice-Hall, Inc",1979,English, How to Guide,0-13-429365-7,2014.10.38,Don Witte,
[Computing with the Scientific Calculator],Printed Matter,Book,Computing with the Scientific Calculator,Morton Rosenstein,N/A,N/A,CASIO,,English,Educational,SA04200061B,2014.10.42,,
[Computing with the Scientific Calculator Revised],Printed Matter,Book,Computing with the Scientific Calculator Revised, Morton Rosenstein,N/A,N/A,CASIO,,English,,SA073900801A,2014.10.43,,
[The 68HC11 Microcontroller],Printed Matter,Book,The 68HC11 Microcontroller, Joseph Greenfield,N/A,N/A,Saunders College Publishing,1992,English,,0-03-051588-2,2014.10.44,,
[The 6800 Microprocessor],Printed Matter,Book,The 6800 Microprocessor, Jack Quinn,N/A,N/A,Macmillan Publishing Company,1992,English,,0-675-20515-8,2014.10.45,,
[Inside the IBM PC],Printed Matter,Book,Access to Advanced Features and Programming,Peter Norton,N/A,N/A,Robert J. Brady Co.,1983,English,IBM Personal Computer--Programming,ISBN 0-89303-556-4,2014.2.1,Alan Bernheimer,
[The Edison Disc Phonographs and the Diamond Discs],Printed Matter,Book,The Edison Disc Phonographs and the Diamond Discs, George L. Frow,N/A,N/A,"Mulholland Press, Inc.",2001,English,History,0960646634,2015.03.01,,
[Working with Word for Windows],Printed Matter,Book,Working with Word for Windows, Russell Borland,N/A,N/A,Microsoft Press,1990,English,Word Processing Guide,1-55615-163-2,2015.10.05,,
[The New Peter Norton Programmer’s Guide to the IBM PC & PS/2],Printed Matter,Book,The New Peter Norton Programmer’s Guide to the IBM PC & PS/2,Peter Norton and Richard Wilton,N/A,N/A,Microsoft Press,1985,English,Programming Guide,1-55615-131-4,2015.10.09,,
[MS DOS: Advanced Programming],Printed Matter,Book,Advanced Programming, Michael J. Young,N/A,N/A,SYBEX,1988,English,Programing Guide,0-89588-578-6,2015.10.10,,
[QuickBASIC 4.5],Printed Matter,Book,QuickBASIC 4.5,Gary Cornell,N/A,N/A,Windcrest Books,1991,English,Program Manual,0-8306-3782-6,2015.10.14,,
[Your IBM PC],Printed Matter,Book,Your IBM PC, Lyle J. Graham,N/A,N/A,Osborne/McGraw-Hill,1983,English,User Guide,0-931988-85-3,2015.10.17,,Spine is completely split open; will have to repair with tape or get new binding.
[Using MS-DOC 6.2],Printed Matter,Book,Using MS-DOC 6.2," Allen L. Wyatt, Sr.; Ed Tiley; and Jon Paisley",Corrine Walls,N/A,Que Corporation,1993,English,User’s Guide and Reference,1-56529-646-x,2015.10.18,,
[DOS for Dummies 2nd Edition],Printed Matter,Book,DOS for Dummies 2nd Edition, Dan Gookin,N/A,N/A,"IDG Books Worldwide, Inc.",1993,English,User guide and reference,1-878058-75-4,2015.10.19,,
[The MS-DOS Encyclopedia],Printed Matter,Book,The MS-DOS Encyclopedia,,Ray Duncan,N/A,Microsoft Press,1988,English,Reference Encyclopedia,1-55615-174-8,2015.11.01,,
[Corel: WordPerfect Suite 7 Quick Results],Printed Matter,Book,WordPerfect Suite 7 Quick Results,,N/A,N/A,Corel Corporation Limited,1996,English,Manual,,2015.11.12,,
[PC Learning Labs Teaches Windows 3.1],Printed Matter,Book,PC Learning Labs Teaches Windows 3.1, Richard P. Scott and Robert Nichols Kulik,Jan Jue,N/A,Ziff-Davis Press,1993,English,Reference Guide,1-56276-051-3,2015.11.13,,
[Programmer’s Guide to the IBM PC],Printed Matter,Book,Programmer’s Guide to the IBM PC,,N/A,N/A,Microsoft Press,1985,English,User’s Guide,0-14-087-144-6,2015.11.14,,
[Understanding Your VIC],Printed Matter,Book,Understanding Your VIC, David E. Schultz,N/A,N/A,"Total Information Services, Inc.",1981,English,Guide,,2015.11.16,,
[TRS-80 Color Computer: Assembly Language Programming],Printed Matter,Book,Assembly Language Programming," William Barden, Jr.",N/A,N/A,Radio Shack,1983,English,Guide,,2015.11.17,,
[PC Computing: Customizing Windows 3.1],Printed Matter,Book,Customizing Windows 3.1, Paul Bonner,N/A,N/A,Ziff-Davis Press,1992,English,Guide,1-56276-018-1,2015.11.18,,
[The Modem Reference: The Complete Guide to PC Communications],Printed Matter,Book,The Complete Guide to PC Communications,Michael A. Banks,N/A,N/A,Brady Publishing,1992,English,Reference Guide,1-56686-027-x,2015.11.19,,
[Inside Windows],Printed Matter,Book,Inside Windows," Jim Boyce, et al.",N/A,N/A,New Riders Publishing,1994,English,Guide,1-56205-328-0,2015.11.21,,3.11 Edition
[WordPerfect 6: Quick Reference],Printed Matter,Book,Quick Reference,"Margaret Hobbie, Bob Beck, and Gary Pickavet",Thomas F. Godfrey III,N/A,David P. Ewing,1993,English,Reference Guide,1-56529-084-4,2015.11.24,,
[Dvorak’s Guide to DOS and PC Performance],Printed Matter,Book,Dvorak’s Guide to DOS and PC Performance, John C. Dvorak and Nick Anis,N/A,N/A,"McGraw-Hill, Inc.",1991,English,Reference Guide,0-07-881658-0,2015.11.25,,
[Power Graphics Programming],Printed Matter,Book,Power Graphics Programming,Michael Abrash,N/A,N/A,Elizabeth Oakley,1989,English,Programming Guide,0-88022-500-9,2015.11.26,,
[Running Microsoft Windows 3.1],Printed Matter,Book,Running Microsoft Windows 3.1,Craig Stinson,N/A,N/A,Microsoft Press,1994,English,Reference Guide,1-55615-696-0,2015.11.27,,
[Windows 3.1 Programmer’s Reference],Printed Matter,Book,Windows 3.1 Programmer’s Reference,James W. McCord,N/A,N/A,Que Corporation,1992,English,Reference Guide,0-88022-787-7,2015.11.28,,
The Happiest Days of Our Lives,Printed Matter,Book,The Happiest Days of Our Lives,Wil Wheaton,,,Subterranean Press,2009,English,Memoir,978-1-59606-244-3,2017.12.15,,"Deluxe hardcover edition in clamshell case, signed by the author"
Medieval Hackers,Printed Matter,Book,Medieval Hackers,Kathleen E. Kennedy,,,Punctum Books,2015,English,Medieval Studies/Information Culture,9780692352465,2018.01.11,Eclipse Archive,Title page inscribed from donor
The New Hacker's Dictionary,Printed Matter,Book,The New Hacker's Dictionary,Eric S. Raymond,,,MIT Press,1994,English,Dictionary,0-262-68079-3,2018.01.12,,
Principles of Interactive Computer Graphics,Printed Matter,Book,Principles of Interactive Computer Graphics,"William M. Newman, Robert F. Sproull",,,McGraw-Hill Book Company,1979,English,Computer Science,0-07-046338-7,2018.01.13,,
X.25 and Related Protocols,Printed Matter,Book,X.25 and Related Protocols,Uyless Black,,,IEEE Computer Society Press,1991,English,Computer Networking,0-8186-8976-5,2018.01.14,,
The Open Book: A Practical Perspective on OSI,Printed Matter,Book,The Open Book: A Practical Perspective on OSI,Marshall T. Rose,,,Prentice Hall,1990,English,Computer Networking,0-13-643016-3,2018.01.15,,
Document Formatting and Typesetting on the UNIX System,Printed Matter,Book,Document Formatting and Typesetting on the UNIX System,Narain Gehani,,,Silicon Press,1986,English,Computerized Typesetting,0-9615336-0-9,2018.01.16,,
Smalltalk--80: The Interactive Programming Environment,Printed Matter,Book,Smalltalk--80: The Interactive Programming Environment,Adele Goldberg,,,Addison-Wesley Publishing Company,1984,English,Computer Science,0-201-11372-4,2018.01.17,,
Smalltalk--80: The Language and Its Implementation,Printed Matter,Book,Smalltalk--80: The Language and Its Implementation,Adele Goldberg and David Robson,,,Addison-Wesley Publishing Company,1983,English,Computer Science,0-201-11371-6,2018.01.18,,
Tricky Tasks for Beginning Typists,Printed Matter,Copy Master,Tricky Tasks for Beginning Typists,Eric Churchill,,,"J. Weston Walch, Publisher",1979,English,Typing Workbook,,2018.01.19,,Unbound sheaf in envelope
Personal Typing Projects,Printed Matter,Copy Master,Personal Typing Projects,June Dostal,,,"J. Weston Walch, Publisher",1982,English,Typing Workbook,,2018.01.20,,
50 Typing Picture Projects,Printed Matter,Copy Master,50 Typing Picture Projects,Winnifred Nichols,,,"J. Weston Walch, Publisher",1980,English,Typing Workbook,,2018.01.21,,
Technical Introduction to the Macintosh Family,Printed Matter,Book,Technical Introduction to the Macintosh Family,"Apple Computer, Inc.",,,Addison-Wesley Publishing Company,1992,English,Apple Technical,0-201-62215-7,2018.01.22,,
Kermit: A File Transfer Protocol,Printed Matter,Book,Kermit: A File Transfer Protocol,Frank da Cruz,,,Digital Press,1987,English,Computer Network Protocols,0-932376-88-6,2018.01.23,,
Folder of Computer Ephemera,Printed Matter,Ephemera,,Unknown,,,,,English,Ephemera,,2018.01.24,,
Folder of Internet Ephemera,Printed Matter,Ephemera,,Unknown,,,,,English,Ephemera,,2018.01.25,,
Folder of Noguska Ephemera,Printed Matter,Ephemera,,Unknown,,,,,English,Ephemera,,2018.01.26,,
Folder of PC History Ephemera,Printed Matter,Ephemera,,Unknown,,,,,English,Ephemera,,2018.01.27,,
IDEX Intro to Apple,Printed Matter,Binder,,,,,"IDEX Microsystems, Inc.",,English,Apple Computers,,2018.01.28,,
Assembly Lines: The Complete Book,Printed Matter,Book,Assembly Lines: The Complete Book,Roger Wagner,Chris Torrence,,Lulu Press,2017,English,A Beginner's Guide to 6502 Programming on the Apple II,978-1-312-08940-2,2018.04.01,Chris Torrence,
The First Artificial Intelligence Coloring Book,Printed Matter,Book,The First Artificial Intelligence Coloring Book,"Harold Cohen, Becky Cohen, Penny Nii",,,"William Kaufmann, Inc.",1984,English,Art and Computers,0-86576-060-8,2018.04.04,,
The Nuclear War Fun Book,Printed Matter,Book,The Nuclear War Fun Book,"Victor Langer, Walter Thomas, Illustrated by Brent Richardson",,,"Holt, Rinehart and Winston",1982,English,Humor,0-03-063396-6,2018.04.05,,
Whole Earth Catalog: access to tools,Printed Matter,Book,Whole Earth Catalog: access to tools,Whole Earth Catalog,,,"Portola Institute, Inc.",1970,English,Catalog,,2018.04.06,,
Cool Tools: A Catalog of Possibilities,Printed Matter,Book,Cool Tools: A Catalog of Possibilities,Kevin Kelly,,,KK,2013,English,Catalog,978-1-940689-00-5,2018.04.07,,
Iconic: A Photographic Tribute to Apple Innovation,Printed Matter,Book,Iconic: A Photographic Tribute to Apple Innovation,Jonathan Zufi,Shelley Holloway,,Ridgewood Publishing,2013,English,Art and Computers,0-9885817-0-8,2018.04.20,,"Special Edition book comes in slipcase with signed letter from author enclosed in an envelope with instructions for inserting book into custom case, and a single 8.5"" x 11"" fine print initialed by author. The slipcased book fits into custom form-fit book case designed like a floppy drive."
Robots: Machines in Man's image,Printed Matter,Book,Robots: Machines in Man's image,Isaac Asimov and Karen A. Frenkel,,,Harmony Books,1985,English,Robotics,0-517-55110-1,2018.04.55,,
The World of the Future Robots: Science & Medicine Into the 21st Century,Printed Matter,Book,The World of the Future Robots: Science & Medicine Into the 21st Century,Kenneth Gatland,,,Usborne Publishing,1979,English,Robotics,,2018.04.56,,
Selected Poems T.S. Eliot,Printed Matter,Book,Selected Poems T.S. Eliot,T.S. Eliot,,,A Harvest Book Harcourt Brace & Company,c1958,English,Poetry,0-15-680647-9,2018.09.35,,
Masters Of Doom: How Two Guys Created an Empire and Transformed Pop Culture,Printed Matter,Book,Masters Of Doom: How Two Guys Created an Empire and Transformed Pop Culture,David Kushner,,,Random House,2003,English,Computer Games History,0-375-50524-5,2018.10.03,,
Fire in the Mind: The 1970s Computer Decade,Printed Matter,Book,Fire in the Mind: The 1970s Computer Decade,Darrel Vandyke,,,CreateSpace,2016,English,Computer History,978-1533426604,2018.10.26,,
[Artificial Intelligence: Making Machines “Think”],Printed Matter,Book,Making Machines “Think”,Neill Graham,N/A,N/A,Tab Books,1979,English,Artificial Intelligence,ISBN 0-8306-1076-6,Accession # 2013.07.650,Aaron Kuhn,
