Name,Medium,Type,Title,Author,Editor,Translator,Publisher,Year,Language,Genre,Identifying Number,Accession Number,Donor,Notes
[Hackers: Heroes of the Computer Revolution],Printed Matter,Book,Heroes of the Computer Revolution,Steven Levy,N/A,N/A,Anchor Press/Doubleday,1984,English,Computers--Programming--History,ISBN 0-385-19195-2,2013.07.575,,
"[Vintage Games: An Insider Look at the History of Grand Theft Auto, Super Mario, and the Most Influential Games of All Time]",Printed Matter,Book,"An Insider Look at the History of Grand Theft Auto, Super Mario, and the Most Influential Games of All Time",Bill Loguidice and Matt Barton,N/A,N/A,Focal Press,2009,English,Video Games--History,ISBN 978-0-240-81146-8,2013.07.576,,
[Computer Literacy: The Basic Concepts and Language],Printed Matter,Book,The Basic Concepts and Language,John V. Lombardi,N/A,N/A,Indiana University Press,1983,English,Computer Literacy,ISBN 0-253-21075-5,2013.07.577,,
[Les Machines Dans la Linguistique],Printed Matter,Book,Les Machines Dans la Linguistique,N/A,Erich Mater and Jitka Stindlova,N/A,Academia,1968,French,Linguistics--Data Processing,N/A,2013.07.578,Aaron Kuhn,Conference proceedings.
[Machines Who Think],Printed Matter,Book,Machines Who Think,Pamela McCorduck,N/A,N/A,W. H. Freeman and Company,1979,English,Artificial Intelligence--History,ISBN 0-7167-1135-4,2013.07.579,,
[The Personal Computer Book],Printed Matter,Book,The Personal Computer Book,Peter A. McWilliams,N/A,N/A,Prelude Press,1982,English,Computer Literacy,ISBN 345-31106-X,2013.07.580,,
[The Computation of Style: An Introduction to Statistics for Students of Literature and Humanities],Printed Matter,Book,An Introduction to Statistics for Students of Literature and Humanities,Anthony Kenny,N/A,N/A,Pergamon Press,1982,English,English Literature--Style / Electronic Digital Computers,ISBN 0-08-024281-2,2013.07.581,,
[The Word Processing Book: A Short Course in Computer Literacy],Printed Matter,Book,A Short Course in Computer Literacy,Peter A. McWilliams,N/A,N/A,Prelude Press,1983,English,Computer Literacy,ISBN 345-31105-1,2013.07.582,,
[Machine Translation: Theoretical and Methodological Issues],Printed Matter,Book,Theoretical and Methodological Issues,N/A,Sergei Nirenburg,N/A,Cambridge University Press,1987,English,Machine Translating,ISBN 0-521-33696-1,2013.07.583,,
[Computer Methods for Literary Research],Printed Matter,Book,Computer Methods for Literary Research,Robert L. Oakman,N/A,N/A,University of South Carolina Press,1980,English,Literary Research--Data Processing,ISBN 0-87249-381-4,2013.07.584,,2013.07.585.
