Name,Medium,Type,Format,Intended Compatibility,Product Name,Username,Developer,Author,Publisher,Language,Year,Parts,Original Price,Identifying Number,Accession Number,Date Tested,Donor,Notes
Music Composer,Software,Productivity,Cartridge,Atari 400 / 800 / XL / XE,Music Composer,Music Composer,Atari,N/A,Atari,English,1980,N/A,N/A,CXL4007,2013.07.295,6/02/2013,,
BASIC,Software,Programming,Cartridge,Atari 400 / 800 / XL / XE,BASIC,BASIC,Atari,N/A,Atari,English,1979,N/A,N/A,CXL4002,2013.07.297,6/02/2013,,
Delta Drawing,Software,Productivity,Cartridge,Atari 400 / 800 / All X LS,Delta Drawing,Delta Drawing,Spinnaker Software,N/A,Spinnaker Software,English,1983,"Case, Instruction Manual",N/A,DLD-AT,2013.07.302,6/02/2013,,
BASIC Programming,Software,Programming,Cartridge,Atari 2600,BASIC Programming,BASIC Programming,Atari,Warren Robinett,Atari,English,1979,N/A,N/A,N/A,2014.05.20,,Gary and Colleen Rynearson,
AtariWriter,Software,[Productivity/Programming/System],5 ¼” Floppy disk,Atari,AtariWriter,AtariWriter,Atari,,Atari,English,1982,"Manual, 5 ¼” floppy, case",,7700088036,2015.10.04,,,
