Name,Medium,Type,Product Name,Username,Manufacturer,Model,Year,Original Price,Serial,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatible Peripherals,Accession Number,Date Tested,Donor,Notes
[Dell Latitude D610],Hardware,Portable Computer,Dell Latitude D610,Dell Latitude D610,Dell,D610,2005,"$1,940",,N/A,8x DVD+/-RW (dual layer),Fujitsu 60GB HD (5400RPM),512MB (2×256) PC3200-DDR2 (400Mhz),Pentium M 760 (2.00Ghz w/ 533Mhz FSB),Broadcom Gigabit Ethernet; Conexant 56K modem,N/A,Microsoft Windows XP,N/A,2013.07.254,,,
[Dell Latitude X1],Hardware,Portable Computer,Dell Latitude X1,"X1, Latitude Notebook ",Dell,X1,2005,"$2,002",JP-0U6256-48634-64L-0167,,Dell D-Bay (optional),1.8″ 30GB or 60GB @ 4200RPM,512MB of 400MHz DDR ,Intel Pentium M 733 ULV (1.1GHz),"headphone/line-out, external microphone, IEEE 1394 FireWire, 1 SecureDigital card slot, 1 CompactFlash card slot.","Intel 2200BG 802.11 b/g, built-in Bluetooth",Windows Home/Pro,Dell D/Bay External Media Bay,2014.06.15,,,3-cell or longer life 6-cell
[Dell Latitude C600/C500],Hardware,Portable Computer,Dell Latitude C600/C500,Dell Latitude C600/C500,Dell,PPO1L,2000,"$3,378",TW-09C748-12800-16N-3038,N/A,8X DVD+/-RW,N/A,512 MB,Intel Pentium III 750 MHz , 1 x parallel - IEEE 1284 (EPP/ECP) - 25 pin D-Sub (DB-25); 1 x serial - RS-232 - 9 pin D-Sub (DB-9); 1 x USB - 4 pin USB Type A; 1 x display / video - VGA - 15 pin HD D-Sub (HD-15); 1 x display / video - S-video output - 4 pin mini-DIN; 1 x infrared - IrDA; 1 x keyboard / mouse - generic - 6 pin mini-DIN (PS/2 style); 1 x modem - phone line - RJ-11; 1 x network - Ethernet 10Base-T/100Base-TX - RJ-45; 1 x docking / port replicator; 1 x microphone - input - mini-phone mono 3.5 mm; 1 x headphones - output - mini-phone stereo 3.5 mm ,PCI bus/AC97,Microsoft Windows 2000,,2014.06.17,,,
[Dell Inspiron I8000 ],Hardware,Portable Computer,Dell Inspiron I8000 ,Dell Inspiron I8000 ,Dell,PP01X,2001,,5C9BR01,3.5 inch,CD-RW/DVD-R,80 GB,128 MB,800 MHz Pentium III,1 microphone; 1 headphone; 2 audio; 1 micro-USB; 1 RJ-11 telecom; 1 RJ-45 network; 1 S-Video out; 1 PS/2; 1 VGA; 1 SCSI; 2 USB 2.0; 1 printer serial; 1 nine-pin serial,N/A,Windows Millenium Edition,N/A,2014.08.05,,Brad Feld,stanfeld
[Dell Latitude CPi],Hardware,Portable Computer,Dell Latitude CPi,Dell Latitude CPi,Dell,PPL,1998,Unknown,0001421C-12800-8A4-1026,3.5 in,N/A,512 KB,128 MB,Intel Pentium II 266 MHz ,1 x VGA; 1 x PS/2; 1 x parallel; 1 x 9-pin serial; 1 x IrDA infared; 1 x USB 2.0; 1 x headphone; 1 x microphone; 1 x audio line-in; 1 x SCSI,1 RAM expansion slot; 2 x CardBus,Windows 98,N/A,2014.08.30,,,With power cord (2014.08.31)
