Name,Medium,Type,Format,Intended Compatibility,Product Name,Username,Developer,Author,Publisher,Language,Year,Parts,Original Price,Identifying Number,Accession Number,Date Tested,Donor,Notes
Deluxe Paint IV,Software,Productivity,3½” Floppy Disk,Amiga Computers,Deluxe Paint IV,Deluxe Paint IV,Electronic Arts,Lee Taran,Electronic Arts,English,1991,"Case, Instruction Manual",N/A,N/A,2013.07.331,2013-05-19,,Disk is missing from case.
Amiga Workbench 1.2,Software,[Productivity/Programming/System],3.5 in floppy disk,Amiga,Amiga Workbench 1.2,Amiga Workbench 1.2,Commodore,,Commodore,English,1985,,,738A181 2DD,2015.03.15,,,
Amiga Extras/ Amiga Basic v 1.2,Software,[Productivity/Programming/System],3.5 in floppy disk,Amiga,Amiga Extras/ Amiga Basic v 1.2,Amiga Extras/ Amiga Basic v 1.2,Commodore,,Commodore,English,1985,,,,2015.03.16,,,
