Name,Medium,Type,Product Name,Username,Intended Compatibility,Interface,Model,Serial,Year,Accession Number,Date Tested,Donor,Notes
Pin: “The Sniffer LAN/WAN Analyzer”,Peripheral,Pin,Product N/A,User N/A,N/A,N/A,N/A,N/A,N/A,2013.12.123,N/A,Kenneth Kuhn,
CAT Novation Modem,Peripheral,Modem,Product CAT Modem,User N/A,N/A,25-pin Serial,CAT,92394,Unknown. Possibly 1978,2013.12.19,,Brad Feld,
Bag Containing 3 Circuit Boards,Peripheral,Bag Containing 3 Circuit Boards,Product Circuit boards,User N/A,Possibly for Apple systems,N/A,N/A,N/A,N/A,2013.12.27,,Brad Feld,"Two circuit boards for apple systems, one likely for apple system and manufactured by Scott Industries. Located in Brad Feld Accessioned Peripherals Container"
Apple Computer Circuit Board (#948),Peripheral,Circuit Board,Product Unknown,User N/A,Unknown,N/A,“#948”,N/A,N/A,2013.12.27,,Brad Feld,
Circuit Boards 2x,Peripheral,Circuit Board,Product Unknown,User N/A,,N/A,N/A,N/A,N/A,2013.12.28,,Brad Feld,Located in Brad Feld Accessioned Peripherals Container. Two circuit boards contained in this bubble wrap. Possibly for Apple systems.
Apple IIc Power Supply and adapter,Peripheral,Power Supply and Adapter,Product ,User ,Apple IIc,,A2M4017,,,2013.12.58,,Purchased by Lori Emerson,
Mouse for Apple IIc,Peripheral,Mouse,Product Mouse of Apple IIc,User ,,9-port serial,A2M4015,048735,,2013.12.59,,Purchased by Lori Emerson,
Nintendo 64 controller,Peripheral,Video game controller,Product Nintendo 64 Controller,User N64 controller,Nintendo 64,N/A,NUS-005,N/A,1996,2014.05.2,,Mark Morris,
Nintendo 64 AC Power Supply,Peripheral,Power supply,Product Nintendo 64 AC power supply,User N64 power supply,Nintendo 64,N/A,NUS-002(USA),98X22 E8,1996,2014.05.3,,Mark Morris,
Container for litl with included printed matter,Peripheral,Container with printed matter,Product litl container,User N/A,,containter and cards,N/A,N/A,2009,2014.1.120,N/A,Chris Moody,
AC adapter,Peripheral,AC adapter,Product litl AC adapter,User N/A,litl webbook,20v Adapter to PC,N/A,N/A,2009,2014.1.121,01/09/2014,Chris Moody,
AC adapter,Peripheral,AC adapter,Product litl AC adapter,User N/A,litl webbook,100-240V to adapter,N/A,N/A,2009,2014.1.122,,Chris Moody,
litl Remote Control,Peripheral,Remote Control,Product litl remote control,User N/A,litl webbook,unknown,N/A,N/A,2009,2014.1.124,,Chris Moody,unopened container.
AC adapter,Peripheral,AC adapter,Product litl AC adapter,User N/A,litl webbook,20v Adapter to PC,N/A,N/A,2009,2014.1.125,01/09/2014,Chris Moody,
AC adapter,Peripheral,AC adapter,Product litl AC adapter,User N/A,litl webbook,100-240V to adapter,N/A,N/A,2009,2014.1.126,,Chris Moody,
Case for Dell Axim X5,Peripheral,Case,Product Axim X5 Leather Case,User N/A,Dell Axim X5,N/A,N/A,N/A,~2002,2014.1.128,,Chris Moody,
Cloth case Handspring Palm Treo,Peripheral,Cloth case,Product Case,User N/A,Handpsring Treo,N/A,N/A,N/A,~2002,2014.1.130,,Chris Moody,clippable onto belt
NEC Japan Chip,Peripheral,Chip,Product A500-3000 ; CBM3 15093-02 053,User N/A,Unknown,Unknown,A500-3000 ; CBM3 15093-02 053,366862-01,1993,2014.1.141,,Keith Moore,
Mouse - Generic brand,Peripheral,Wheel Mouse,Product Mouse,User N/A,PS/2 ports,PS/2,MO42KC,043608343,Unknown,2014.1.2,01/02/2014,“Anonymous”,
AESP phone to PS/2,Peripheral,Adapter,Product AESP brand adapter,User N/A,phone line to ps/2,ps/2,N/A,N/A,Unknown,2014.1.243,N/A,Keith Moore,
WICO Joystick,Peripheral,Peripheral Joystick,Product Command Control,User N/A,Atari,9-pin,Command Control,N/A,circa 1983,2014.1.244,,Keith Moore,
Apple 5.25 Drive Controller,Peripheral,Expansion Card,Product 5.25 Drive Controller,User N/A,Expansion Card,Expansion port to 19-pin port,655-0101-D,N/A,1987,2014.1.257,,Keith Moore,
Apple Disk ][ Interface Card,Peripheral,Expansion Card,Product Disk ][ Interface Card,User N/A,Apple II systems,Expansion card to 20-pin ports,650-X104,N/A,1978,2014.1.258,,Keith Moore,Drive expansion card to support up to two drives
Apple Mouse II,Peripheral,Mouse,Product Mouse,User Apple Mouse II,8-pin port,8-pin port, M0100,G442MO10006295,1984,2014.1.260,,Keith Moore,
AC Power Adapter - IBM,Peripheral,Power Adapter,Product ICM AC Power Adapter,User N/A,IBM Laptop PCs,AC 100-240v to DC19V,11J8627,NB049138796,Unknown (late 90s),2014.1.3,01/02/2014,“Anonymous”,
Wireless Card for IBM ThinkPad,Peripheral,Wireless 11g PCMCIA Card,Product WPC-0301,User Wireless Card,Laptop PCs,PCMCIA Card Bus,WPC-0301,WPC-0301 07050401096V4,Unknown. Late 90s?,2014.1.4,01/02/2014,“Anonymous”,Fully functional
Sino-American AC Adaptor,Peripheral,AC Adapter,Product AC Adaptor Power Supply,User N/A,Timex Sinclair ZX81,AC connector,9-10,SA-48 ; 0183,Unknown,2014.1.81,,Gary and Colleen Rynearson,
Connectix/Logitech QuickCam,Peripheral,Webcam,Product QuickCam,User QuickCam (not webcam),Apple Macintosh,USB,QuickCam,N/A,1994,2014.2.2,,John Hopkins,
Connectix/Logitech QuickCam,Peripheral,Webcam,Product QuickCam,User QuickCam (not webcam),Apple Macintosh,USB,QuickCam,N/A,1994,2014.2.3,,John Hopkins,
Nintendo - Power Pad,Peripheral,Floor Mat Game Controller,Product Power Pad,User Power Pad,Nintendo Entertainment System,N/A,N/A,N/A,1988,2014.4.1,,,
