,Medium,Type,Secondary Type,Tertiary Type,Product Name,Username,Manufacturer,Model,Developer,Author,Editor,Publisher,Language,Year,Original Price,Identifying Number,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatibility,Accession Number,Date Tested,Donor,notes,
The Good Shepherd,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,The Good Shepherd,,Universal,,,,,,,2006,,,,,,,,,,,"HD DVD player, Xbox 360",2019.11.06,,Will Tuttle,"inc. special features, print errors in the specs list",
Eternal Sunshine of the Spotless Mind,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Eternal Sunshine of the Spotless Mind,,Universal,,,,,,,2004,,HD DVD #62032831,,,,,,,,,"HD DVD player, Xbox 360",2019.11.07,,Will Tuttle,inc. special features,
U-571,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,U-571,,Universal,,,,,,,2000,,HD DVD #61027779,,,,,,,,,"HD DVD player, Xbox 360",2019.11.08,,Will Tuttle,inc. special features,
Apollo 13,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Apollo 13,,Universal,,,,,,,1995,,HD DVD #61027778,,,,,,,,,"HD DVD player, Xbox 360",2019.11.09,,Will Tuttle,inc. special features,
Elizabeth the Golden Age,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Elizabeth the Golden Age,,Universal,,,,,,,2007,,HD DVD  & DVD COMB FORMAT #61102688,,,,,,,,,"HD DVD player, Xbox 360",2019.11.10,,Will Tuttle,inc. special features,
Army of Darkness,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Army of Darkness,,Universal,,,,,,,1992,,HD DVD #61101612,,,,,,,,,"HD DVD player, Xbox 360",2019.11.11,,Will Tuttle,inc. special features,
American Ruins: A Stereoscopic Souvenir,Audio-Visual,Visual,Visual Display,ViewMaster,American Ruins: A Stereoscopic Souvenir,Matt Bergstrom,,,,Matt Bergstrom,,Wurlington Press,,2011,,978-0-9843438-4-3 978-0-9843438-3-6 978-0-9843438-5-0,,,,,,,,,Viewmaster reels,2018.04.15,,,Box contains 1 Fisher Price 3D view master and 3 picture reels with illustrated booklets. There is a second 3D view master that doesn't fit in the box but has the same accession number.,
Information Res Shoot/ Computer Rm: Personal Slide Collection,Audio-Visual,Visual,Visual Recording,Slide,Information Res Shoot/ Computer Rm: Personal Slide Collection,,,,,,,,,1986,,,,,,,,,,,Slide Projector,2018.09.37,,,19 plastic sleeves of slides numbered 2-20,
Adventures in Typewriter Art film strip,Audio-Visual,Visual,Visual Recording,Filmstrip,Adventures in Typewriter Art film strip,,,,,,,,English,,,,,,,,,,,,Filmstrip Viewer,2018.09.51,,,,
The Image of the Broadcast Journalist in Popular Culture 1937-2006 (IJPC Video 8),Audio-Visual,A/V,Audio & Visual Recording,DVD,The Image of the Broadcast Journalist in Popular Culture 1937-2006 (IJPC Video 8),,,,,,,IJPC-Project of Norman Lear Center Annenberg School for Communication University of Southern California,English,,,,,,,,,,,,DVD player,2018.11.18,,,,
Two Sob Sisters: The Image of the Female Journalist in Popular Culture 1929-2003 (IJPC Video 2),Audio-Visual,A/V,Audio & Visual Recording,DVD,Two Sob Sisters: The Image of the Female Journalist in Popular Culture 1929-2003 (IJPC Video 2),,,,,,,IJPC-Project of Norman Lear Center Annenberg School for Communication University of Southern California,English,,,,,,,,,,,,DVD player,2018.11.19,,,,
Real Life Journalists in Movies and Television 1931-2003 (IJPC Video 4),Audio-Visual,A/V,Audio & Visual Recording,DVD,Real Life Journalists in Movies and Television 1931-2003 (IJPC Video 4),,,,,,,IJPC-Project of Norman Lear Center Annenberg School for Communication University of Southern California,English,,,,,,,,,,,,DVD player,2018.11.20,,,,
Hollywood Looks at the News 1925-2003 (IJPC Video 6),Audio-Visual,A/V,Audio & Visual Recording,DVD,Hollywood Looks at the News 1925-2003 (IJPC Video 6),,,,,,,IJPC-Project of Norman Lear Center Annenberg School for Communication University of Southern California,English,,,,,,,,,,,,DVD player,2018.11.21,,,,
Graflex 16,Audio-Visual,Visual,Visual Display,16mm Film Projector,Graflex 16,,"Graflex, inc. A subsidiary of General Precision Equipment Corp.",915,,,,,,1969,,305797,,,,,,,,,16 mm film,2020.01.07,,,Manual in Google Drive,
Bell & Howell Movie Projector Model 1633ZP,Audio-Visual,Visual,Visual Display,Multi-Format Film Projector,Bell & Howell Model 1633ZP,,Bell & Howell Company,1633ZP,,,,,,1975,,6016185,,,,,,,,,"8 mm film, super-8 film, ",2020.01.09,,,"Came with two film splicers labeled 2020.01.09A and 2020.01.09B, Manual in Ephemera 1",
Keystone regal 8 k-109 movie projector,Audio-Visual,Visual,Visual Display,8mm Film Projector,Keystone regal 8 k-109 movie projector,,Keystone,k-109,,,,,,1945,,MA 5265,,,,,,,,,8 mm film,2020.01.10,,,has case with reel,
Boeing 16mm Film,Audio-Visual,Visual,Visual Recording,16mm Film Reel,#10 Wings for the Ground Commander,Boeing Vertol Division,,,,,,Boeing,English,1967,,125-107S-3/67,,,,,,,,,16 mm projector,2020.09.02,,Andrew Brandt,"Stock Footage, Film smells vinegary, is in film media transport box",
Boeing 16mm Film,Audio-Visual,Visual,Visual Recording,16mm Film Reel,#22 Operational versatility,Boeing Vertol Division,,,,,,Boeing,English,1967,,,,,,,,,,,16 mm projector,2020.09.14,,Andrew Brandt,"Stock Footage, Film smells vinegary, is in film media transport box, color+sound film",
Polaroid 600 Land Camera,Audio-Visual,Visual,Image-making,Still Film Camera,Polaroid Sun 600 LMS instant camera,,Polaroid,Sun600,,,,,,1983,$39.95,g3q 32484,,,,,,,,,Polaroid 600 Instant Film,2020.09.06,,,includes box and manuals,
Polaroid 600 OneStep,Audio-Visual,Visual,Image-making,Still Film Camera,Polaroid 600 OneStep,,Polaroid,OneStep,,,,,,1996,,Abs 14xyw Cjda,,,,,,,,,Polaroid 600 Instant Film,2020.10.30,,,"Includes box, no manual ",
R.B. Graflex Series D,Audio-Visual,Visual,Image-making,Still Film Camera,Graflex Series D,,The Former Graflex Corporation,,,,,,,1923,,,,,,,,,,,"4"" x 5"" film backs",2020.12.85,,,,
TV/FM/AM Walkman,Audio-Visual,Audio,Portable Audio Player,Cassette/Radio,TV/AM/FM Walkman,,Sony,WM-FX277,,,,,,,,,,,,,,,,,Cassette tape,2021.1.83,,Rob Striegl,includes case,
Film back,Audio-Visual,Visual,Image-making,Camera Accessory,"4"" x 5"" Film back",,Voigtländer,,,,,,,,,,,,,,,,,,"4""x5"" film, 4""x5"" camera",2021.1.84,,,,
Video Sender Kit,Audio-Visual,A/V,Audio & Visual Transception,Video Transceiver,X-10 Video Sender Kit,,X-10,VK30A,,,,,,,,,,,,,,"RCA, Coaxial, Power",,,,2021.1.90,1.8.2021,Aryeh Goretsky,"In box - includes send and receive units, power supply units, adapter for security camera, cables",
2001 A Space Odyssey,Audio-Visual,Audio,Audio Recording,Record,2001 A Space Odyssey Motion Picture Soundtrack,,MGM Records,,,,,,,1968,,,,,,,,,,,Record Player,2021.2.216,,,,
Demolition Man,Audio-Visual,A/V,Audio & Visual Recording,VHS,Demolition Man,,Warner Bros. Home Video,,,,,,English,1993,,ISBN: 0-7907-1900-2,,,,,,,,,VCR,2021.2.429,,,,
Ferris Bueller's Day Off,Audio-Visual,A/V,Audio & Visual Recording,VHS,Ferris Bueller's Day Off,,Paramount,,,,,,English,1986,,ISBN: 0-7921-0022-0,,,,,,,,,VCR,2021.2.431,,,,
Raising Arizona,Audio-Visual,A/V,Audio & Visual Recording,VHS,Raising Arizona,,Twentieth Century Fox,,,,,,English,1987,,ISBN: 0-7939-5191-7,,,,,,,,,VCR,2021.2.432,,,,
Gremlins,Audio-Visual,A/V,Audio & Visual Recording,VHS,Gremlins,,Warner Bros. Home Video,,,,,,English,1984,,ISBN: 0-7907-4270-5,,,,,,,,,VCR,2021.2.434,,,,
The Fifth Element,Audio-Visual,A/V,Audio & Visual Recording,VHS,The Fifth Element,,Columbia Pictures,,,,,,English ,1997,,ISBN: 0-8001-0510-6,,,,,,,,,VCR,2021.2.436,,,,
Casino,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Casino,,Universal,,,,,,English,2006,,ISBN: 1-4170-2172-1,,,,,,,,,"HD DVD player, Xbox 360",2021.2.438,,,,
Children of Men,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD and DVD,Children of Men,,Universal,,,,,,English,2007,,,,,,,,,,,"HD DVD player, Xbox 360, DVD player",2021.2.440,,,,
The Lost City,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,The Lost City,,Magnolia Home Entertainment,,,,,,English,2006,,,,,,,,,,,"HD DVD player, Xbox 360",2021.2.442,,,,
Batman Begins,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Batman Begins,,Warner Bros. Home Video,,,,,,English,2006,,,,,,,,,,,"HD DVD player, Xbox 360",2021.2.443,,,,
The Assassination of Jesse James by the Coward Robert Ford,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,The Assassination of Jesse James by the Coward Robert Ford,,Warner Bros. Home Video,,,,,,English,2008,,ISBN 1-4198-5459-3,,,,,,,,,"HD DVD player, Xbox 360",2021.2.445,,,,
*batteries not included,Audio-Visual,A/V,Audio & Visual Recording,VHS,*batteries not included,,MCA Home Video,,,,,,English,1990,,ISBN 1-55880-003-4,,,,,,,,,VCR,2021.2.447,,,,
Short Circuit,Audio-Visual,A/V,Audio & Visual Recording,VHS,Short Circuit,,Warner Bros. Home Video,,,,,,English,1986,,ISBN 0-7939-3724-8,,,,,,,,,VCR,2021.2.449,,,,
The Matrix: Collectors Edition,Audio-Visual,A/V,Audio & Visual Recording,VHS,The Matrix: Collectors Edition,,Warner Bros. Home Video,,,,,,English,1999,,ISBN 0-7907-4538-0,,,,,,,,,VCR,2021.2.451,,,,
The Terminator,Audio-Visual,A/V,Audio & Visual Recording,VHS,The Terminator,,"Hemdale Home Video, Inc.",,,,,,English ,1984,,,,,,,,,,,VCR,2021.2.452,,,,
D.A.R.Y.L.,Audio-Visual,A/V,Audio & Visual Recording,VHS,D.A.R.Y.L.,,"Paramount Home Video, Inc.",,,,,,English ,1985,,,,,,,,,,,VCR,2021.2.453,,,,
THE NET,Audio-Visual,A/V,Audio & Visual Recording,VHS,THE NET,,Columbia Tristar Home Video,,,,,,English ,1995,,,,,,,,,,,VCR,2021.2.455,,,,
Fear and Loathing in Las Vegas,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Fear and Loathing in Las Vegas,,Universal,,,,,,English,2006,,ISBN 1-4170-2547-6,,,,,,,,,"HD DVD player, Xbox 360",2021.2.458,,,,
Jet Li's Fearless,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD and DVD,Jet Li's Fearless,,Universal,,,,,,English,2006,,,,,,,,,,,"HD DVD player, Xbox 360, DVD player",2021.2.459,,,,
I Am Legend,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD and DVD,I Am Legend,,Warner Bros. Home Video,,,,,,English,2007,,ISBN 1-4198-6099-2,,,,,,,,,"HD DVD player, Xbox 360, DVD player",2021.2.461,,,Includes alternate ending,
Breach,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD and DVD,Breach,,Universal,,,,,,English,2006,,,,,,,,,,,"HD DVD player, Xbox 360, DVD player",2021.2.463,,,,
SNATCH,Audio-Visual,A/V,Audio & Visual Recording,DVD,SNATCH,,Sony Pictures,,,,,,English,2000,,ISBN 1-4049-3859-1,,,,,,,,,DVD player,2021.2.465,,,,
Tremors,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Tremors,,Universal,,,,,,English,1989,,,,,,,,,,,"HD DVD player, Xbox 360",2021.2.467,,,,
Serenity,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Serenity,,Universal,,,,,,English,2005,,,,,,,,,,,"HD DVD player, Xbox 360",2021.2.468,,,,
Aeon Flux,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Aeon Flux,,Paramount,,,,,,English,2005,,ISBN 1-4157-2409-1,,,,,,,,,"HD DVD player, Xbox 360",2021.2.470,,,,
12 Monkeys,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,12 Monkeys,,Universal,,,,,,English,1995,,ISBN 1-4170-5093-4,,,,,,,,,"HD DVD player, Xbox 360",2021.2.472,,,,
Clerks II,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Clerks II,,The Weinstein Company,,,,,,English,2006,,ISBN 1-594-44317-3,,,,,,,,,"HD DVD player, Xbox 360",2021.2.475,,,,
Battlestar Galactica: Season 1,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Battlestar Galactica: Season 1,,Universal,,,,,,English,2007,,,,,,,,,,,"HD DVD player, Xbox 360",2021.2.477,,,,
Backdraft,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Backdraft,,Universal,,,,,,English,1991,,ISBN 1-4170-5097-7,,,,,,,,,"HD DVD player, Xbox 360",2021.2.479,,,,
Carlito's Way,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Carlito's Way,,Universal,,,,,,English,1993,,,,,,,,,,,"HD DVD player, Xbox 360",2021.2.480,,,,
Swingers: Collectors Edition,Audio-Visual,A/V,Audio & Visual Recording,DVD,Swingers: Collectors Edition,,MIramax,,,,,,English,1996,,ISBN 0-7888-3912-8,,,,,,,,,DVD player,2021.2.482,,,,
GoodFellas,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,GoodFellas,,Warner Bros. Home Video,,,,,,English,1990,,ISBN 1-4198-3180-1,,,,,,,,,DVD player,2021.2.483,,,,
The Searchers,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,The Searchers,,Warner Bros. Home Video,,,,,,English,1956,,ISBN 1-4198-3191-7,,,,,,,,,"HD DVD player, Xbox 360",2021.2.485,,,,
A scanner Darkly,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,A scanner Darkly,,Warner Bros. Home Video,,,,,,English,2006,,ISBN 1-4198-3292-1,,,,,,,,,"HD DVD player, Xbox 360",2021.2.486,,,,
King Kong,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,King Kong,,Universal,,,,,,English,2006,,,,,,,,,,,"HD DVD player, Xbox 360",2021.2.487,,,,
Sonic Fury,Audio-Visual,A/V,Audio & Visual Recording,VHS,Sonic Fury,,Worlds of Wonder,,,,,,English,1987,,,,,,,,,,,VCR,2021.2.488,,,"Technically this is just a VHS, however it was designed for use with the Action Max game system",
Lost in Translation,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Lost in Translation,,Universal,,,,,,English,2003,,,,,,,,,,,"HD DVD player, Xbox 360",2021.2.489,,,,
Hot Rod,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Hot Rod,,"Paramount Home Video, Inc.",,,,,,English,2007,,ISBN 1-4157-3716-9,,,,,,,,,"HD DVD player, Xbox 360",2021.2.490,,,,
The Last Samurai,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,The Last Samurai,,Warner Bros. Home Video,,,,,,English,2003,,ISBN 1-4198-3182-8,,,,,,,,,"HD DVD player, Xbox 360",2021.2.491,,,,
The Wild Bunch,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,The Wild Bunch,,Warner Bros. Home Video,,,,,,English,1969,,ISBN 1-4198-4950-6,,,,,,,,,"HD DVD player, Xbox 360",2021.2.492,,,,
Spartacus,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Spartacus,,Universal,,,,,,English,1960,,ISBN 1-4170-2552-2,,,,,,,,,"HD DVD player, Xbox 360",2021.2.493,,,,
Blade Runner,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Blade Runner,,Warner Bros. Home Video,,,,,,English,1982,,ISBN 1-4198-6239-1,,,,,,,,,"HD DVD player, Xbox 360",2021.2.494,,,,
The Omega Man,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,The Omega Man,,Warner Bros. Home Video,,,,,,English,1971,,ISBN 1-4198-6219-7,,,,,,,,,"HD DVD player, Xbox 360",2021.2.495,,,,
The Sting,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,The Sting,,Universal,,,,,,English,1973,,,,,,,,,,,"HD DVD player, Xbox 360",2021.2.496,,,,
Unforgiven,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Unforgiven,,Warner Bros. Home Video,,,,,,English,1992,,ISBN 1-4198-3197-6,,,,,,,,,"HD DVD player, Xbox 360",2021.2.497,,,,
The Aviator,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,The Aviator,,Warner Bros. Home Video,,,,,,English,2004,,ISBN 1-4198-6263-4,,,,,,,,,"HD DVD player, Xbox 360",2021.2.498,,,,
Mallrats,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Mallrats,,Universal,,,,,,English,1995,,,,,,,,,,,"HD DVD player, Xbox 360",2021.2.499,,,,
Being John Malkovich,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Being John Malkovich,,Universal,,,,,,English,1999,,,,,,,,,,,"HD DVD player, Xbox 360",2021.2.500,,,,
Troy,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Troy,,Warner Bros. Home Video,,,,,,English,2004,,ISBN 1-4198-5880-7,,,,,,,,,"HD DVD player, Xbox 360",2021.2.501,,,,
The Bourne Supremacy,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,The Bourne Supremacy,,Universal,,,,,,English,2004,,,,,,,,,,,"HD DVD player, Xbox 360",2021.2.502,,,,
Cinderella Man,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Cinderella Man,,Universal,,,,,,English,2005,,,,,,,,,,,"HD DVD player, Xbox 360",2021.2.503,,,,
Smokin' Aces,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD and DVD,Smokin' Aces,,Universal,,,,,,English,2006,,,,,,,,,,,"HD DVD player, Xbox 360, DVD player",2021.2.504,,,,
The Bourne Ultimatum,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD and DVD,The Bourne Ultimatum,,Universal,,,,,,English,2007,,,,,,,,,,,"HD DVD player, Xbox 360, DVD player",2021.2.505,,,,
Dueling Banjos From the Original Sound Track of Deliverance and Additional Music,Audio-Visual,Audio,Audio Recording,Record,Dueling Banjos From the Original Sound Track of Deliverance and Additional Music,,Warner Bros.,,,,,,,1973,,,,,,,,,,,Record Player,2021.3.407,,,,
Let's Polka,Audio-Visual,Audio,Audio Recording,Record,Let's Polka,,Buckingham Records,,,,,,,,,818/M-818,,,,,,,,,Record Player,2021.3.410,,,"No record of this record seems to exist, at least as far as I could find",
The Original Soundtrack from the Motion Picture Grease,Audio-Visual,Audio,Audio Recording,Record,The Original Soundtrack from the Motion Picture Grease,,RSO Records Inc.,,,,,,English,1978,,,,,,,,,,,Record Player,2021.3.412,,,,
A Jazz Holiday,Audio-Visual,Audio,Audio Recording,Record,A Jazz Holiday,,MCA Records,,,,,,,1973,,,,,,,,,,,Record Player,2021.3.414,,,"This record is in the wrong outer sleeve: the outer sleeve is labeled ""Ella Fitzgerald sings the Gershwin Song Book""",
Ghostbusters Original Soundtrack Album,Audio-Visual,Audio,Audio Recording,Record,Ghostbusters Original Soundtrack Album,,CBS Records,,,,,,English,1984,,,,,,,,,,,Record Player,2021.3.415,,,,
Chicago 17,Audio-Visual,Audio,Audio Recording,Record,Chicago 17,,Warner Bros.,,,,,,English,1984,,,,,,,,,,,Record Player,2021.3.416,,,,
Super Mario Galaxy Official Soundtrack,Audio-Visual,Audio,Audio Recording,CD,Super Mario Galaxy Official Soundtrack,,Nintendo,,,,,,,2007,,,,,,,,,,,CD Player,2021.3.424,,,,
Halo Original Soundtrack Bonus DVD,Audio-Visual,A/V,Audio & Visual Recording,DVD,Halo Original Soundtrack Bonus DVD,,Sumthing Else,,,,,,English,2002,,,,,,,,,,,DVD player,2021.3.425,,,,
Oak Ridge Boys Greatest Hits,Audio-Visual,Audio,Audio Recording,Cassette Tape,Oak Ridge Boys Greatest Hits,,MCA Records,,,,,,English,1980,,,,,,,,,,,Cassette Player,2021.3.432,,,,
BBS: The Documentary,Audio-Visual,A/V,Audio & Visual Recording,DVD,BBS: The Documentary,,Nicole Sparks,,,,,,English,2005,,,,,,,,,,,DVD player,2021.3.562,,,,
Marriage and Money,Audio-Visual,A/V,Audio & Visual Recording,Presentation Kit,Marriage and Money,,American Council of Life Insurance Education Services,,,,,American Council of Life Insurance,English,1973,,,,,,,,,,,Cassette Player + Filmstrip Projector,2021.3.793,,,"This box contains a filmstrip, cassette, and teacher's guide for a presentation. The cassette appears to have two sides, one for manual slide cueing and the other for automatic slide cueing using pulses inaudible to humans, which a filmstrip projector would presumably ""hear"" and advance the strip.",
A Sound Investment,Audio-Visual,A/V,Audio & Visual Recording,Presentation Kit,A Sound Investment,,National Schools Committee For Economic Education. Inc,,,,,National Schools Committee For Economic Education. Inc,English,1978,,,,,,,,,,,Cassette Player + Filmstrip Projector,2021.3.794,,,"This box contains a filmstrip, cassette, and teacher's guide for a presentation, as well as other printed educational materials related to investment and economics. The cassette appears to have two sides, one for manual slide cueing and the other for automatic slide cueing using pulses inaudible to humans, which a filmstrip projector would presumably ""hear"" and advance the strip.",
Xbox 360 HD DVD Player,Audio-Visual,A/V,Audio & Visual Playback,HD DVD Player,Xbox 360 HD DVD Player,,Microsoft,,,,,,,2006,,,,,,,,"Power, USB 2.0x2",,,"Xbox 360, Windows XP/Vista/8/10, OSX 10+",2021.3.795,,,"Reads CD, DVD, and HD DVD",
Brownie Hawkeye Flash Model,Audio-Visual,Visual,Image-making,Still Film Camera,Brownie Hawkeye Flash Model,,Eastman Kodak Company,,,,,,,1949,,,,,,,,,,,620 Film,2021.4.118,,Avery Family,,
Treasure Quest: The Soundtrack,Audio-Visual,Audio,Audio Recording,CD,Treasure Quest: The Soundtrack,,,,,,,Sirius Publishing,,1995,,,,,,,,,,,CD Player,2021.4.163,,,,
Klebepresse F 8S automatic ,Audio-Visual,Visual,Visual Display,Film Splicer,Kelebpresse F 8S automatic ,,Kelebpresse,,,,,,,1960,,,,,,,,,,,,2021.5.45,,,,
Dia Cutter,Audio-Visual,Visual,Visual Display,Film Splicer,Dia Cutter,,Bonum,,,,,,,,,,,,,,,,,,,2021.5.46,,,,
Perfect Sound,Audio-Visual,Audio,Audio Recorder,Digital Sound Sampler,Perfect Sound,,SunRize Industries,,,,,SunRize Industries,,1986,,,,,,,,,,,Amiga,2021.5.48,,,"Comes in box with a 3.5"" Floppy disk",
"I Am Rapture, Rapture Is Me - Official Bioshock Score",Audio-Visual,Audio,Audio Recording,Record,"I Am Rapture, Rapture Is Me - Official Bioshock Score",,,,,,,Take-Two Interactive Software,,2002,,,,,,,,,,,,2021.7.67,,Benj Edwards / Brad Feld,,
Panasonic Bi-Sider,Audio-Visual,A/V,Audio & Visual Display,Television,Panasonic Bi-Sider TV/FM-AM Radio/Clock,,Panasonic,TR-4060P,,,,,,1982,,,,,,,,,,,,2021.8.34,,,,
Panasonic Solid-State 3-Way,Audio-Visual,A/V,Audio & Visual Display,Television,Panasonic Solid-State 3-Way TV/FM-AM Radio,,Panasonic,TR-535C,,,,,,1975,,,,,,,,,,,,2021.8.35,,,,
Blonder-Tongue AM Series Agile Modulator,Audio-Visual,A/V,Audio & Visual Transmission,Television Antenna,Blonder-Tongue AM Series Agile Modulator,,Blonder-Tongue,,,,,,,,,,,,,,,,,,,2021.8.36,,,,
Advent Select-A-Tenna Radio,Audio-Visual,Audio,Stationary Audio Player,AM/FM Radio,Advent Select-A-Tenna Radio,,Advent,Model 400,,,,,,,,,,,,,,,,,,2021.8.37,,,,
Pioneer 8-Track Player,Audio-Visual,Audio,Stationary Audio Player,8-Track Player,Pioneer 8-Track Player,,Pioneer,H-R100,,,,,,,,,,,,,,,,,,2021.8.38,,,,
Personal JukeBox,Audio-Visual,Audio,Portable Audio Player,Digital Audio,Personal JukeBox,,"Hango Electronics Co., Ltd.",PJB100,,,,,,1999,,,,,,,,,,,,2021.10.32,,Andrea Longo,,
Computer Animation Festival Volume 2.0,Audio-Visual,A/V,Audio & Visual Recording,VHS,Computer Animation Festival Volume 2.0,,BMG Music,,,,,,English,1994,,ISBN 1-57177-002-X,,,,,,,,,VCR,2022.1.78,,,,
Jurassic Park,Audio-Visual,A/V,Audio & Visual Recording,VHS,Jurassic Park,,,,,,,Universal Pictures,English,1993,,0-7832-0836-7,,,,,,,,,VCR,2022.3.37,,,,
Twister,Audio-Visual,A/V,Audio & Visual Recording,VHS,Twister,,,,,,,Warner Bros.,English,1996,,0-7907-2825-7,,,,,,,,,VCR,2022.3.38,,,,
You've Got Mail,Audio-Visual,A/V,Audio & Visual Recording,VHS,You've Got Mail,,,,,,,Warner Bros.,English,1998,,0-7907-4049-4,,,,,,,,,VCR,2022.3.39,,,,
Office Space,Audio-Visual,A/V,Audio & Visual Recording,VHS,Office Space,,,,,,,Twentieth Century Fox,English,1999,,,,,,,,,,,VCR,2022.3.40,,,,
Legally Blonde,Audio-Visual,A/V,Audio & Visual Recording,VHS,Legally Blonde,,,,,,,MGM Pictures,English,2001,,,,,,,,,,,VCR,2022.3.41,,,,
Frequency,Audio-Visual,A/V,Audio & Visual Recording,VHS,Frequency,,,,,,,New Line Cinema,English,2000,,0-7806-3155-2,,,,,,,,,VCR,2022.3.42,,,,
Waterworld,Audio-Visual,A/V,Audio & Visual Recording,VHS,Waterworld,,,,,,,Universal Pictures,English,1995,,0-7832-1464-2,,,,,,,,,VCR,2022.3.43,,,,
The Abyss,Audio-Visual,A/V,Audio & Visual Recording,VHS,The Abyss,,,,,,,Twentieth Century Fox,English,1989,,0-7939-1561-9,,,,,,,,,VCR,2022.3.44,,,,
Contact,Audio-Visual,A/V,Audio & Visual Recording,VHS,Contact,,,,,,,Warner Bros.,English,1997,,,,,,,,,,,VCR,2022.3.45,,,,
Armageddon,Audio-Visual,A/V,Audio & Visual Recording,VHS,Armageddon,,,,,,,Touchstone Pictures,English,1997,,0-7888-1332-3,,,,,,,,,VCR,2022.3.46,,,,
Sneakers,Audio-Visual,A/V,Audio & Visual Recording,VHS,Sneakers,,,,,,,Universal Pictures,English,1992,,0-7832-0264-4,,,,,,,,,VCR,2022.3.47,,,,
Apollo 13,Audio-Visual,A/V,Audio & Visual Recording,VHS,Apollo 13,,,,,,,Universal Pictures,English,1994,,0-7832-1463-4,,,,,,,,,VCR,2022.3.48,,,,
Stargate,Audio-Visual,A/V,Audio & Visual Recording,VHS,Stargate,,,,,,,Le Studio Canal,English,1995,,,,,,,,,,,VCR,2022.3.49,,,,
AM/FM Radio Cassette Player,Audio-Visual,Audio,Portable Audio Player,Cassette/Radio,AM/FM Radio Cassette Player,,Tozai,ATC-9555,,,,,,,,9076,,,,,,,4 AA batteries,,Cassette,2022.5.1,,,,
AM/FM Solid State Radio,Audio-Visual,Audio,Portable Audio Player,Radio,AM/FM Solid State Radio,,General Electric,,,,,,,,,,,,,,,,9V battery,,,2022.6.18,,,,
Arrival II,Audio-Visual,A/V,Audio & Visual Recording,VHS,Arrival II,,,,,,,Artisan Home Entertainment,English,1998,,0-7840-1011-0,,,,,,,,,VCR,2022.9.23,,,,
Minority Report,Audio-Visual,A/V,Audio & Visual Recording,VHS,Minority Report,,,,,,,Dreamworks Home Entertainment,English,2002,,,,,,,,,,,VCR,2022.9.24,,,,
The Cable Guy,Audio-Visual,A/V,Audio & Visual Recording,VHS,The Cable Guy,,,,,,,Columbia Pictures,English,1996,,0-8001-8778-4,,,,,,,,,VCR,2022.9.25,,,,
Virus,Audio-Visual,A/V,Audio & Visual Recording,VHS,Virus,,,,,,,Universal Pictures,English,1999,,0-7832-2978-X,,,,,,,,,VCR,2022.9.26,,,,
