Name,Medium,Type,Product Name,Username,Manufacturer,Model,Year,Original Price,Serial,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatible Peripherals,Accession Number,Date Tested,Donor,Notes
Dell OptiPlex GX1, Hardware, Desktop Computer, Dell OptiPlex GX1, Dell OptiPlex GX1, Dell, GX1,1998, , , , , , , 450 MHz Pentium II or 600 MHz Pentium III Processor, , , , ,2013.07.229, , , 
Dell Dimension 2400, Hardware, Desktop Computer, Dell Dimension 2400, Dell Dimension 2400, Dell, 2400,2004," $1,000", , N/A, DVD-ROM and CD-RW, 40GB, 256MB, Celeron 2.40GHz," Legacy Ports, Analog (VGA) Monitor Connection, 3 Audio Inputs, 4 USB 2.0 Ports, Ethernet Jack, 56Kbps Modem, 2 USB 2.0 Ports, Space Microphone Jack"," Memory Sockets, 2 PCI Slots", Windows XP, N/A,2013.07.263, , , 
Dell Dimension XPS H233, Hardware, Desktop Computer, Dell Dimension XPS H233, Dell Dimension XPS H233, Dell, MM8,1997, Unknown, BQ6NN, 3.5 inch, CD, , 32MB, 233MHz Intel Pentium II, Legacy ports; 6 USB 2.0 ports; 2 microphone ports; 3 speaker ports; SCSI connection; 2 serial printer connections; VGA connection; 2 RJ-11 telecom ports," Up to 4, 16MB RAM expansions; 3, 32-bit PCI expansion slots", Windows 95, N/A,2014.08.04, , Brad Feld,  Stanley Feld; Password: stanfeld
